ISIN_CODE,BSE_Symbol,OneWR,OneMR,ThreeMR,OneYR,ThreeYR,FiveYR,TenYR,P_E,Sector_PE,P_B,Median_PB,DE_Ratio,ROE,EYield,DYield,OPM,EV_EBITDA,PS_Ratio,PCF,PEG_Ratio,FCF,LTD,OverallValue,bullpattn,bearpattn,PSAR,momentum,daily_vol,slowRSI,AweOsc,week_vol,fastRSI,UltOsc,month_vol,bullupdates,bearupdates
INE092H01014,522237,-,-,-10.49,-0.85,-22.41,-17.65,0.05,-,171.54,0.38,91.78 (3-Y),1.21,1.37,2.34,0,8.16,8.22,0.13,1.18,-,0.58,9.49,Poor,-,-,5.88,0,0.05,100,0.090588,0.05,100,71.43,0.0286,-,-
INE386D01027,513097,1.24,3.6,99.87,288.03,67.19,78.43,20.64,26.77,26.77,3.69,11.49 (5-Y),0.54,14.8,5.81,0.16,16.02,13.72,2.29,23.85,0.57,4.75,33.85,Not cheap but still Good,-,-,86.09018,-2.299998,0.0533,14.32,3.521324,0.0538,22.57,41.17,0.0633,-,-
INE788J01013,539148,-0.34,-0.1,23.15,162.52,-,-,-,48.14,136.2766667,7.65,31.57 (1-Y),1.44,47.76,3.51,0,15.55,27.47,4.59,23.18,0.37,-0.87,31.56,Not Assessed,-,-,627.02386,-70.15001,0.0536,10.56,49.493233,0.0713,9.99,47.67,0.0412,-,-
INE637H01024,532776,5.42,-7.35,47.66,139.9,34.74,55.12,26.78,-,84.58857143,4.63,13.89 (5-Y),2.09,-1.98,1.92,0,10.4,21.13,1.79,13.71,-,-78.47,400.43,Very Costly,Weekly Bullish Harami Formation formed on 13-Nov-2017<br />Weekly Bullish Harami Formation formed on 03-Nov-2017<br />Weekly Inverted Hammer Formation formed on 03-Nov-2017<br />Inverted Hammer Formation formed on 03-Nov-2017<br />Three Inside Up formed on 31-Oct-2017,Weekly Three Outside Down formed on 17-Nov-2017<br />Three Outside Down formed on 15-Nov-2017<br />Weekly Bearish Engulfing Formation formed on 09-Nov-2017<br />Spinning Top formed on 09-Nov-2017<br />Weekly Bearish MaruBozu formed on 08-Nov-2017,98.25,12.6,0.0697,26.45,19.819853,0.0627,16.76,45.03,0.0765,ADX +DI Cross Above - DI seen on 20-Nov-2017,CMF Bearish Divergence -Long term seen on 20-Nov-2017<br />ADX -DI Cross Above + DI seen on 16-Nov-2017<br />CMF-Bearish Trend Change seen on 15-Nov-2017
INE857P01021,538520,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Cheap,-,-,-,-,-,-,-,-,-,-,-,-,-
INE728Q01014,539593,-2.78,-1.69,-37.28,-86.2,-,-,-,16.3,61.94643766,0.17,19.19 (1-Y),0.21,1.16,-236.05,0,188.7,-0.42,32.12,0.89,0.18,1.5,1.31,Not cheap but still Good,-,-,-,-,-,-,-,-,-,-,-,-,-
INE429R01017,539683,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
INE074G01014,539833,-,-,-,-,-,-,-,-,61.94643766,0.86,-,0,-5.94,-1.08,0,52.76,10.27,7.23,1.73,-,30.16,0.02,Somewhat costly but justifies,-,-,-,-,-,-,-,-,-,-,-,-,-
INE498B01024,532638,-2.38,-2.65,57.02,77.82,2.35,4.9,7.63,-,51.30333333,6.27,93.74 (5-Y),1.86,-14.58,0.68,0.14,4.52,23.39,1.2,34.04,-,-120.61,885.11,Poor,Three Inside Up formed on 16-Nov-2017<br />Weekly Bullish Harami Formation formed on 16-Nov-2017<br />Bullish Harami Formation formed on 15-Nov-2017<br />Monthly Inverted Hammer Formation formed on 15-Nov-2017<br />Bullish Harami Formation formed on 08-Nov-2017,Spinning Top formed on 17-Nov-2017<br />Bearish Engulfing Formation formed on 09-Nov-2017<br />Weekly Bearish Harami Formation formed on 08-Nov-2017<br />Weekly Bearish Engulfing Formation formed on 31-Oct-2017<br />Spinning Top formed on 24-Oct-2017,561.8431,-17.09998,0.034,25.86,39.687202,0.0594,28.73,48.14,0.0578,Stock Broke Monthly Resistance seen on 21-Nov-2017<br />ADX +DI Cross Above - DI Weekly ADX seen on 21-Nov-2017<br />ADX +DI Cross Above - DI Monthly ADX seen on 21-Nov-2017<br />PSAR Bullish Reversal on Weekly Chart seen on 20-Nov-2017<br />PSAR Bullish Reversal on Monthly Chart seen on 20-Nov-2017,ADX -DI Cross Above + DI Monthly ADX seen on 21-Nov-2017<br />ADX -DI Cross Above + DI Weekly ADX seen on 21-Nov-2017
INE185C01017,538795,-1.64,-6.52,2.35,22.84,38.58,36.78,20.29,19.52,24.98666667,1.06,5.71 (5-Y),0.53,7.17,7.87,0,8.58,8.36,0.44,6.25,-1.37,-15.36,48.81,Very Costly,-,-,-,-,-,-,-,-,-,-,-,-,-
INE688C01010,502563,-,-,-,-,-,-,-,-,-,-0.06,-,-1.33,0,-4.87,0,-9552.75,-49.94,837.59,-25.22,-,-22.45,284.58,Poor,-,-,4.009941,0.24,0.0091,66.08,0.287412,0,83.04,98.23,0.0121,-,-
INE070A01015,500387,-5.81,-6.12,-0.48,14.58,24.07,31.82,28.77,49.56,39.325,7.16,46.18 (5-Y),0.17,18.41,2.77,0.82,33.87,22.02,6.25,27.06,5.16,1206.51,1292.53,Very Costly,Weekly Hammer Formation formed on 17-Nov-2017<br />Inverted Hammer at Downtrend formed on 09-Nov-2017<br />Bullish Harami Formation formed on 07-Nov-2017<br />Bullish Engulfing Formation formed on 01-Nov-2017<br />Bullish Engulfing Formation formed on 25-Oct-2017,Weekly Three Dark Crows formed on 13-Nov-2017<br />Three Outside Down formed on 09-Nov-2017<br />Bearish Engulfing Formation formed on 08-Nov-2017<br />Monthly Bearish Harami Formation formed on 06-Nov-2017<br />Bearish Harami Formation formed on 02-Nov-2017,18745.758,116,0.0201,65.66,477.2598,0.0228,57,57.72,0.025,ADX +DI Cross Above - DI Monthly ADX seen on 21-Nov-2017<br />ADX +DI Cross Above - DI Weekly ADX seen on 21-Nov-2017<br />Crossed Above Weekly Central Line seen on 17-Nov-2017,ADX -DI Cross Above + DI Weekly ADX seen on 21-Nov-2017<br />ADX -DI Cross Above + DI Monthly ADX seen on 21-Nov-2017<br />Crossed Below Weekly Central Line seen on 20-Nov-2017<br />MACD Below Zero Line seen on 16-Nov-2017<br />Monthly MACD Below Zero Line seen on 16-Nov-2017
INE232A01011,502180,7.81,8.66,37.66,40.82,11.59,12.87,-3.17,-,51.30333333,1.89,30.64 (5-Y),0.52,-7.43,1.41,0,6.11,16.17,1.17,12.74,-,-0.9,96,Poor,-,-,24.947,0.9,0.044,68.29,1.676471,0.0596,75.59,49.72,0.0664,-,-
INE051N01018,539470,-14.13,2.77,-,-,-,-,-,9.24,9.24,3.8,-,0.01,56.2,10.81,0,44.05,9.26,4.17,-3.43,-,-12.94,0.06,Not Assessed,-,-,-,-,-,-,-,-,-,-,-,-,-
INE400N01017,530797,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
INE883G01018,532643,6.32,-,-26.81,-44.51,-29.05,-17.73,-37.89,-,-,-0.02,-,-1.81,0,-8.31,0,-284.13,-,-,-0.75,-,-1.84,139.66,Poor,-,-,1.5,0.05,0,100,-0.160294,0,100,72.38,0.0015,-,-
INE553K01019,533180,-,-,-,-,-,-,-,-,-,-,1.32 (3-Y),13.48,-127.42,-12.25,0,47.72,-8.38,2.75,0.09,-,-735.41,3166.85,Poor,-,-,-,-,-,-,-,-,-,-,-,-,-
INE414Y01015,540737,9.82,10.58,-,-,-,-,-,14.07,11.255,1.51,-,0,17.13,11.69,0,22.71,-,-,-,-,0,-,Not Assessed,-,-,-,-,-,-,-,-,-,-,-,-,-
INE080I01025,512463,12,-,15.86,-,-9.6,-15.47,-,-,-,0.85,187.59 (5-Y),0,-0.82,-0.44,0,-3.55,-240.75,5.67,-15.36,-,-24.67,-,Poor,-,-,2.388058,0,0.0455,0,-0.243382,0.0091,0,74.94,0.0022,-,-
INE065E01017,524336,-7.04,-27.92,2.31,-37.68,-23.94,38.5,-2.08,-,26.755,0.52,1.99 (5-Y),0,-3.59,-302.63,1.97,1.18,-0.31,0.24,-4.2,-,-9.93,-,Very Poor,-,-,-,-,-,-,-,-,-,-,-,-,-
INE538D01015,516106,-6.06,-2.11,21.01,90.18,-,-,-,8.49,23.882,2.75,7.56 (3-Y),2.21,19.86,7.67,0,9.06,11.32,0.65,14.37,0.07,-0.79,27.1,Not cheap but still Good,-,-,19.482006,3.15,0.0888,94.81,3.320735,0.0841,91.2,58.23,0.0954,-,-
INE970C01012,500388,0.2,-16.5,-10.12,77.65,31.83,15.96,5.61,4.63,59.48333333,1.71,3.36 (5-Y),1.27,326.87,15.1,0,9.23,5.42,0.24,1.1,0.09,29.66,24.7,Cheap,-,-,-,-,-,-,-,-,-,-,-,-,-
INE632A01012,503863,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Very Poor,-,-,-,-,-,-,-,-,-,-,-,-,-
INE914B01012,531962,-4.8,-20.12,-,-,-,-11.4,4.77,-,22.83,1.07,67.48 (3-Y),1,2.61,5.35,0,2.97,14.68,0.18,-11.7,-,-0.56,6.64,Poor,-,-,17.421774,-3.25,0.0487,0,-2.577941,0,0,9.04,0.0005,-,-
INE066E01015,540253,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Not Assessed,-,-,-,-,-,-,-,-,-,-,-,-,-
INE847D01010,527005,-,-,-,0.2,-,-,-11.2,-,11.57,0.69,872.86 (3-Y),0.55,-6.34,0.8,0,8.69,12.33,0.6,8.48,-,-0.66,2.71,Poor,-,-,8.95564,0.46,0,100,-0.119882,0,100,92.7,0,-,-
INE318K01017,533110,-3.12,-11.43,-47.46,-84.8,-58.91,-35.36,-,-,-,5.3,14.8 (5-Y),0,-161,-276.86,0,-38.55,-2.03,0.9,-53.47,-,-0.07,-,Poor,-,-,0.359398,-0.01,0,59.78,-0.047824,0.0061,93.11,41.5,0.0027,-,-
