ISIN_CODE,BSE_Symbol,OneWR,OneMR,ThreeMR,OneYR,ThreeYR,FiveYR,TenYR,P_E,Sector_PE,P_B,Median_PB,DE_Ratio,ROE,EYield,DYield,OPM,EV_EBITDA,PS_Ratio,PCF,PEG_Ratio,FCF,LTD,OverallValue,bullpattn,bearpattn,PSAR,momentum,daily_vol,slowRSI,AweOsc,week_vol,fastRSI,UltOsc,month_vol,bullupdates,bearupdates
INE521J01018,533260,5.69,-6.12,45.65,31.36,9.34,-3.76,-,11.26,12.5,0.66,13.28 (5-Y),0.35,4.89,11.64,0,45.73,7.52,2.81,-17.08,-2.82,-35.14,129.03,Very Cheap,Three Inside Up formed on 24-Oct-2017<br />Bullish Harami Formation formed on 23-Oct-2017<br />Weekly Bullish Harami Formation formed on 23-Oct-2017<br />Bullish Harami Formation formed on 12-Oct-2017<br />Weekly Three Inside Up formed on 06-Oct-2017,Weekly Spinning Top formed on 14-Nov-2017<br />Three Dark Crows formed on 13-Nov-2017<br />Weekly Three Outside Down formed on 10-Nov-2017<br />Weekly Bearish Engulfing Formation formed on 03-Nov-2017<br />Three Inside Down formed on 30-Oct-2017,164.04997,-2.3,0.0305,6.84,0.878677,0.044,1.64,38.21,0.0531,-,MACD Below Zero Line seen on 14-Nov-2017<br />Monthly MACD Below Zero Line seen on 14-Nov-2017<br />Weekly MACD Below Zero Line seen on 14-Nov-2017
INE081B01010,530609,-1.2,-9.29,-13.14,-1.32,19.59,31.3,-0.2,-,14.3275,0.8,5.66 (5-Y),1.82,1.18,2.64,0.98,7.98,19.07,0.2,2.04,-,3.12,33.74,Very Poor,-,-,46.483204,-0.550001,0.0282,16.86,-1.549412,0.0559,26.07,22.83,0.0488,-,-
INE068D01021,532282,-0.19,4.16,-15.02,-29.4,-60.98,-44.7,-23.74,-,-,0.15,11.57 (5-Y),2.73,-35.4,-14.85,0,15.72,36.95,0.17,0.4,-,-10.85,6284.93,Poor,Monthly Bullish Harami Formation formed on 17-Nov-2017<br />Bullish GapUp Formation formed on 06-Nov-2017<br />Bullish GapUp Formation formed on 03-Nov-2017<br />Weekly Abandoned Baby Bullish formed on 27-Oct-2017<br />Inverted Hammer at Downtrend formed on 28-Sep-2017,Dark Cloud cover Formation formed on 25-Oct-2017<br />Bearish Engulfing Formation formed on 23-Oct-2017<br />Spinning Top formed on 12-Oct-2017<br />Three Dark Crows formed on 03-Oct-2017<br />Weekly Spinning Top formed on 27-Sep-2017,5.031388,0.2,0.0291,69.8,-0.1075,0.061,70.8,38.13,0.0616,CMF-Bullish Trend Change seen on 21-Nov-2017<br />MACD Above Zero Line seen on 20-Nov-2017,MACD Below Signal Line seen on 21-Nov-2017<br />Monthly MACD Below Zero Line seen on 21-Nov-2017<br />MACD Below Zero Line seen on 21-Nov-2017<br />Weekly MACD Below Signal Line seen on 21-Nov-2017<br />Weekly MACD Below Zero Line seen on 21-Nov-2017
INE172A01027,500870,-0.4,2.67,0.09,0.52,-5.09,5.74,19.31,29.66,42.315,17.71,32.99 (5-Y),0,115.24,5.43,2.83,32.4,17.51,5.24,28.94,3.56,698.48,-,Not cheap but still Good,Three Inside Up formed on 17-Nov-2017<br />Bullish Harami Formation formed on 16-Nov-2017<br />Monthly Bullish Harami Formation formed on 24-Oct-2017<br />Bullish GapUp Formation formed on 17-Oct-2017<br />Monthly Bullish Harami Formation formed on 13-Oct-2017,Spinning Top formed on 10-Nov-2017<br />Three Outside Down formed on 08-Nov-2017<br />Bearish Engulfing Formation formed on 07-Nov-2017<br />Weekly Bearish Harami Formation formed on 24-Oct-2017<br />Three Dark Crows formed on 05-Oct-2017,389.4034,26.15,0.0148,98.97,21.137354,0.0309,96.91,46.19,0.0223,Crossed Above Weekly Central Line seen on 20-Nov-2017,ADX -DI Cross Above + DI seen on 21-Nov-2017<br />PSAR Bearish Reversal on Weekly Chart seen on 21-Nov-2017<br />PSAR Bearish Reversal on Monthly Chart seen on 21-Nov-2017<br />Weekly CMF-Bearish Trend Change seen on 17-Nov-2017<br />Crossed Below Weekly Central Line seen on 15-Nov-2017
INE170B01037,531682,0,-,-22.22,-31.94,-50.31,-24.05,-23.76,-,113.56,0.05,-,0.14,-37.09,-22.04,0,-42.46,-8.93,0.93,-,-,-22.44,6.84,Very Poor,-,-,0.5308,0.01,0.0185,96.08,-0.057647,0.0073,89.88,39.47,0.0088,-,-
INE660B01011,531158,15.42,25.68,38.32,186.76,62.11,30.28,20.03,9.88,22.5,1.55,9.43 (5-Y),0.6,7.43,14.48,1.96,6.21,5.99,0.36,4.95,0.07,4.08,9.52,Not Assessed,-,-,-,-,-,-,-,-,-,-,-,-,-
INE778E01031,531900,0,-10.64,-30,-50,-82.9,-53.32,-,-,84.9975,0.71,161.92 (5-Y),0.22,4.63,-9.99,0,8.64,-18.5,0.59,-,-,2.92,13.59,Very Poor,-,-,15.635531,-2.65,0,0,-3.817059,0,0,0,0,-,-
INE421D01022,519600,-0.21,-1.45,11.21,27.81,27.07,56.67,29.27,29.56,29.56,6.34,24.87 (5-Y),0.22,23.44,4.98,0.82,23.89,16.92,3.59,38.5,1.14,80.19,141.99,Somewhat costly but justifies,Monthly Inverted Hammer Formation formed on 14-Nov-2017<br />Bullish Harami Formation formed on 08-Nov-2017<br />Monthly Inverted Hammer Formation formed on 07-Nov-2017<br />Weekly Bullish Piercing Formation formed on 27-Oct-2017<br />Weekly Bullish Engulfing Formation formed on 25-Oct-2017,Monthly Dark Cloud cover Formation formed on 17-Nov-2017<br />Three Dark Crows formed on 15-Nov-2017<br />Weekly Dark Cloud cover Formation formed on 10-Nov-2017<br />Three Dark Crows formed on 07-Nov-2017<br />Weekly Bearish MaruBozu formed on 07-Nov-2017,324.95,3.05001,0.1081,49.51,5.16809,0.0453,56.77,68.29,0.0301,ADX +DI Cross Above - DI seen on 21-Nov-2017,Weekly MACD Below Zero Line seen on 21-Nov-2017<br />Monthly MACD Below Zero Line seen on 21-Nov-2017<br />MACD Below Zero Line seen on 21-Nov-2017<br />ADX -DI Cross Above + DI seen on 15-Nov-2017
INE482A01020,500878,5.04,6.75,12.66,59.55,26.88,77.25,27.17,32.58,30.9075,3.05,9.57 (5-Y),0.39,14.8,4.34,0.63,11.85,15.25,1.2,22.21,1.83,-331.12,938.65,Very Costly,Three Inside Up formed on 16-Nov-2017<br />Bullish Harami Formation formed on 15-Nov-2017<br />Monthly Bullish Harami Formation formed on 14-Nov-2017<br />Three Outside Up formed on 13-Nov-2017<br />Weekly Three Inside Up formed on 10-Nov-2017,Spinning Top formed on 15-Nov-2017<br />Weekly Dark Cloud cover Formation formed on 14-Nov-2017<br />Weekly Spinning Top formed on 13-Nov-2017<br />Dark Cloud cover Formation formed on 07-Nov-2017<br />Weekly Spinning Top formed on 02-Nov-2017,1733.7556,-56.2,0.0199,20.84,-47.16853,0.0233,28.54,39.64,0.0207,PSAR Bullish Reversal on Monthly Chart seen on 21-Nov-2017<br />PSAR Bullish Reversal on Weekly Chart seen on 21-Nov-2017<br />MACD Above Zero Line seen on 21-Nov-2017<br />Crossed Above Weekly Central Line seen on 21-Nov-2017<br />CMF-Bullish Trend Change seen on 21-Nov-2017,-
INE358C01010,530789,8.08,41.11,54.21,190.6,71.87,57.35,30.15,10.58,61.94643766,1.61,4.24 (5-Y),0.77,14.55,12.78,0.89,65.98,7.62,3.56,-7.33,0.94,-9.13,26.7,Not cheap but still Good,-,-,110.37374,-3.15,0.0388,47.49,-0.66,0.0566,46.59,38.88,0.0508,-,-
INE418D01010,531119,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Very Poor,-,-,8.658072,0,0,—,4E-14,0,—,9.56,0,-,-
INE760J01012,514171,23.58,-7.55,0,42.78,15.8,37.74,-,6.66,6.66,0.82,6.33 (5-Y),0.03,11.31,22.15,0,21.3,4.98,1.33,10.41,0.22,3.02,0.56,Not Assessed,-,-,12.073367,-0.21,0.0524,62.78,-0.538765,0.0295,63.42,54.63,0.04,-,-
INE016Q01014,538734,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Not cheap but still Good,-,-,-,-,-,-,-,-,-,-,-,-,-
INE185H01016,532695,-1.38,4.65,-3.67,72.7,3.87,30.87,-12,-,15.33,-3.86,2.67 (3-Y),5.38,0,-4.38,0,4.27,14.38,0.36,62.91,-,-5.73,67.17,Very Costly,Monthly Bullish Engulfing Formation formed on 09-Nov-2017<br />Bullish GapUp Formation formed on 06-Nov-2017<br />Monthly Bullish MaruBozu formed on 06-Nov-2017<br />Weekly Bullish Engulfing Formation formed on 03-Nov-2017<br />Monthly Bullish Engulfing Formation formed on 03-Nov-2017,Bearish MaruBozu formed on 08-Nov-2017<br />Weekly Spinning Top formed on 07-Nov-2017<br />Bearish Harami Formation formed on 25-Oct-2017<br />Three Inside Down formed on 23-Oct-2017<br />Bearish Harami Formation formed on 19-Oct-2017,15.388298,-0.1,0.0277,32.64,-0.751912,0.0514,48.28,44.66,0.0634,PSAR Bullish Reversal on Weekly Chart seen on 21-Nov-2017<br />MACD Above Zero Line seen on 21-Nov-2017<br />ADX +DI Cross Above - DI seen on 21-Nov-2017<br />PSAR Bullish Reversal on Monthly Chart seen on 21-Nov-2017,ADX -DI Cross Above + DI seen on 17-Nov-2017
INE221I01017,532871,17,-6.14,-2.13,6.72,-10.53,7.03,-9.48,13.35,16.586,0.47,35.46 (5-Y),0.08,3.53,7.97,0,18.1,6.24,1.35,3.48,0.14,13.39,8.25,Very Cheap,Abandoned Baby Bullish formed on 14-Nov-2017<br />Weekly Bullish Harami Formation formed on 07-Nov-2017<br />Monthly Bullish Harami Formation formed on 26-Oct-2017<br />Weekly Bullish Harami Formation formed on 26-Oct-2017<br />Monthly Bullish Harami Formation formed on 18-Oct-2017,Spinning Top formed on 17-Nov-2017<br />Monthly Three Dark Crows formed on 17-Nov-2017<br />Dark Cloud cover Formation formed on 08-Nov-2017<br />Monthly Three Dark Crows formed on 06-Nov-2017<br />Monthly Three Dark Crows formed on 03-Nov-2017,23.33736,-1.6,0.0437,22.24,-0.695147,0.0737,1.61,32.72,0.0461,10 Days Price & Vol Moving Up seen on 21-Nov-2017<br />PSAR Bullish Reversal on Monthly Chart seen on 21-Nov-2017<br />PSAR Bullish Reversal on Weekly Chart seen on 21-Nov-2017<br />ADX +DI Cross Above - DI seen on 21-Nov-2017,Stock Broke Weekly Support seen on 17-Nov-2017<br />Stock Broke Monthly Support seen on 17-Nov-2017
INE627F01011,522251,8.41,6.71,30.63,75.36,25.33,12.8,13.65,10.89,51.30333333,1.31,10.29 (5-Y),0.92,10.31,13.81,0,15.13,6.7,0.68,7.41,-2.92,1.72,16.45,Not cheap but still Good,-,-,61.878433,-5.85,0.0607,8.69,-2.869412,0.1085,12.43,40.92,0.0884,-,-
INE405H01018,531380,-4.95,32.49,24.34,-19.22,55.88,16.24,-,16.33,123.4714286,1.16,10.13 (5-Y),0.62,7.86,9.94,0,9.25,8.91,0.52,-16.02,17.71,-2.39,15.25,Somewhat costly but justifies,-,-,66.44586,0.250002,0.0475,42.53,-4.301619,0,62.53,46.06,0.0427,-,-
INE157B01026,531621,-,-,-,-,-,-,-,-,-,1.94,-,0,-28.29,-31.09,0,-19.22,-3.77,1.23,-5.42,-,-0.23,-,Poor,-,-,0.92,0,0,100,-0.089706,0,100,70.75,0,-,-
INE483A01010,532885,2.56,4.98,9.21,1.01,1.28,1.68,-2.88,-,61.94643766,1.18,18.19 (5-Y),0.67,-16.84,-27.68,0,2.12,-2.9,0.64,0.25,-,57234.69,9623.3,Poor,Bullish Harami Formation formed on 10-Nov-2017<br />Bullish Engulfing Formation formed on 06-Nov-2017<br />Monthly Three Inside Up formed on 06-Nov-2017<br />Monthly Three Inside Up formed on 03-Nov-2017<br />Monthly Bullish Harami Formation formed on 31-Oct-2017,Monthly Dark Cloud cover Formation formed on 15-Nov-2017<br />Three Outside Down formed on 14-Nov-2017<br />Weekly Spinning Top formed on 31-Oct-2017<br />Weekly Dark Cloud cover Formation formed on 19-Oct-2017<br />Three Outside Down formed on 12-Oct-2017,94,3.550003,0.05,56.32,3.147353,0.0751,41.93,48.84,0.0465,ADX +DI Cross Above - DI Monthly ADX seen on 21-Nov-2017<br />PSAR Bullish Reversal on Weekly Chart seen on 21-Nov-2017<br />PSAR Bullish Reversal on Monthly Chart seen on 21-Nov-2017<br />ADX +DI Cross Above - DI Weekly ADX seen on 21-Nov-2017<br />ADX +DI Cross Above - DI seen on 20-Nov-2017,ADX -DI Cross Above + DI Monthly ADX seen on 21-Nov-2017<br />ADX -DI Cross Above + DI Weekly ADX seen on 21-Nov-2017<br />PSAR Bearish Reversal on Monthly Chart seen on 16-Nov-2017<br />ADX -DI Cross Above + DI seen on 15-Nov-2017<br />Monthly MACD Below Zero Line seen on 15-Nov-2017
INE736A01011,Not Listed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Not Assessed,Bullish Harami Formation formed on 02-Nov-2017<br />Inverted Hammer Formation formed on 02-Nov-2017<br />Bullish Harami Formation formed on 12-Oct-2017<br />Weekly Bullish Harami Formation formed on 05-Oct-2017,Three Outside Down formed on 06-Nov-2017<br />Weekly Three Outside Down formed on 03-Nov-2017<br />Bearish Engulfing Formation formed on 03-Nov-2017<br />Three Dark Crows formed on 01-Nov-2017<br />Weekly Bearish Engulfing Formation formed on 27-Oct-2017,367.2974,-11.84999,0.0129,15.59,6.199998,0.0262,17.93,31.38,0.0328,ADX +DI Cross Above - DI seen on 20-Nov-2017,ADX -DI Cross Above + DI seen on 16-Nov-2017<br />MACD Below Zero Line seen on 14-Nov-2017<br />Monthly MACD Below Zero Line seen on 14-Nov-2017<br />Weekly MACD Below Zero Line seen on 14-Nov-2017
INE631B01038,501827,-1.23,-2.32,-,27.55,44.3,42.93,3.71,-,-,81.39,-,0.11,-95.19,-0.17,0,-,-575.68,-,-802.92,-,0,0.1,Very Poor,-,-,-,-,-,-,-,-,-,-,-,-,-
INE660C01027,501150,-1.85,-4.99,16.91,177.34,83.19,28.01,20.92,74.46,61.94643766,10.5,67.35 (5-Y),1.17,13.99,2.59,0,2.07,37.42,99.78,-47.02,1.65,-38.2,391.09,Very Costly,-,-,83.31895,-2.749997,0.0261,19.26,-2.454853,0.0478,26.54,39.74,0.0407,-,-
INE320B01020,517544,5.31,5.67,4.75,29.98,2.19,59.76,14.25,24.77,46,4.26,23.87 (5-Y),1.06,15.16,5.14,0.76,11.1,16.52,2.09,-140.4,0.34,-82.12,231.91,Somewhat costly but justifies,Inverted Hammer at Downtrend formed on 16-Nov-2017<br />Inverted Hammer Formation formed on 09-Nov-2017<br />Monthly Three Inside Up formed on 03-Nov-2017<br />Monthly Bullish Harami Formation formed on 31-Oct-2017<br />Inverted Hammer Formation formed on 30-Oct-2017,Weekly Three Inside Down formed on 17-Nov-2017<br />Three Outside Down formed on 14-Nov-2017<br />Weekly Bearish Harami Formation formed on 10-Nov-2017<br />Weekly Spinning Top formed on 10-Nov-2017<br />Bearish Harami Formation formed on 09-Nov-2017,610.4242,19.40002,0.0126,86.65,6.27088,0.0255,82.62,49.17,0.0323,ADX +DI Cross Above - DI seen on 21-Nov-2017<br />Crossed Above Weekly Central Line seen on 21-Nov-2017<br />MACD Above Zero Line seen on 15-Nov-2017,MACD Below Signal Line seen on 21-Nov-2017<br />Monthly MACD Below Signal Line seen on 21-Nov-2017<br />MACD Below Zero Line seen on 21-Nov-2017<br />Weekly MACD Below Signal Line seen on 21-Nov-2017<br />Monthly MACD Below Zero Line seen on 21-Nov-2017
INE485K01014,530881,-,-,-,-,-,-,-,14.76,61.94643766,1.06,51.28 (3-Y),0.1,10.75,7.84,0,0.62,12.54,0.07,728.6,0.1,-0.04,0.19,Not cheap but still Good,-,-,-,-,-,-,-,-,-,-,-,-,-
INE485A01015,500280,4.24,-6.65,6.27,25.92,28.26,20.3,7.6,9.87,9.87,0.85,8.51 (5-Y),0.06,11.15,16.73,2.08,16.65,4.91,0.54,12.15,0.13,31.61,52.53,Very Costly,Weekly Bullish Harami Formation formed on 16-Nov-2017<br />Monthly Bullish Engulfing Formation formed on 31-Oct-2017<br />Monthly Bullish MaruBozu formed on 31-Oct-2017<br />Monthly Bullish Engulfing Formation formed on 27-Oct-2017<br />Monthly Bullish Engulfing Formation formed on 18-Oct-2017,Monthly Dark Cloud cover Formation formed on 17-Nov-2017<br />Weekly Three Outside Down formed on 14-Nov-2017<br />Three Outside Down formed on 13-Nov-2017<br />Monthly Dark Cloud cover Formation formed on 10-Nov-2017<br />Weekly Bearish Engulfing Formation formed on 09-Nov-2017,345.41202,61.30001,0.0613,58.63,29.023678,0.0585,76.05,51.88,0.044,ADX +DI Cross Above - DI seen on 20-Nov-2017<br />Crossed Above Weekly Central Line seen on 16-Nov-2017,MACD Below Zero Line seen on 21-Nov-2017<br />ADX -DI Cross Above + DI seen on 21-Nov-2017<br />Monthly MACD Below Zero Line seen on 21-Nov-2017<br />Weekly MACD Below Zero Line seen on 21-Nov-2017<br />Crossed Below Weekly Central Line seen on 20-Nov-2017
INE281A01026,500083,-5.56,-8.68,11.9,-33.53,27.3,17.77,-4.38,22.41,34.92,0.93,18.51 (5-Y),0.92,3.15,12.73,0,6.84,5.56,0.18,12.08,-2.19,-1.27,36.41,Not cheap but still Good,Bullish Harami Formation formed on 10-Nov-2017<br />Weekly Bullish Harami Formation formed on 24-Oct-2017<br />Inverted Hammer at Downtrend formed on 10-Oct-2017<br />Monthly Bullish Engulfing Formation formed on 29-Sep-2017<br />Three Outside Up formed on 29-Sep-2017,Monthly Three Inside Down formed on 17-Nov-2017<br />Weekly Dark Cloud cover Formation formed on 09-Nov-2017<br />Bearish MaruBozu formed on 09-Nov-2017<br />Monthly Three Inside Down formed on 09-Nov-2017<br />Monthly Bearish Harami Formation formed on 31-Oct-2017,4.55,0.2,0.0417,51.39,-0.138088,0.0475,72.03,46.58,0.0574,MACD Above Zero Line seen on 15-Nov-2017,MACD Below Zero Line seen on 21-Nov-2017<br />Monthly MACD Below Zero Line seen on 21-Nov-2017<br />Weekly MACD Below Zero Line seen on 21-Nov-2017<br />Crossed Below Weekly Central Line seen on 20-Nov-2017<br />MACD Below Signal Line seen on 15-Nov-2017
INE348B01021,532548,3.99,6.26,17.41,69.86,27.08,38.9,19.77,39.08,23.9275,8.66,24.4 (5-Y),0.87,31.11,3.49,0.34,18.39,23.54,3.49,30.07,1.39,-107.78,618.5,Very Costly,Weekly Bullish Harami Formation formed on 02-Nov-2017<br />Bullish Engulfing Formation formed on 31-Oct-2017<br />Bullish GapUp Formation formed on 06-Oct-2017<br />Monthly Bullish Harami Formation formed on 05-Oct-2017<br />Bullish Harami Formation formed on 26-Sep-2017,Weekly Dark Cloud cover Formation formed on 15-Nov-2017<br />Weekly Spinning Top formed on 31-Oct-2017<br />Weekly Dark Cloud cover Formation formed on 25-Oct-2017<br />Bearish Engulfing Formation formed on 18-Oct-2017<br />Weekly Bearish Engulfing Formation formed on 04-Oct-2017,270.92215,6.49999,0.0401,70.08,18.811176,0.0415,66.34,49.75,0.0362,Crossed Above Weekly Central Line seen on 16-Nov-2017,Weekly MACD Below Signal Line seen on 21-Nov-2017<br />Monthly MACD Below Signal Line seen on 21-Nov-2017<br />MACD Below Signal Line seen on 21-Nov-2017<br />CMF-Bearish Trend Change seen on 13-Nov-2017
INE055A01016,500040,5.4,0.69,12.6,92.48,33.82,27.86,2,60.61,25.73,5.86,159.04 (5-Y),2.28,4.33,4.11,0.41,12.36,17.61,1.8,15.78,0.59,341.26,5667.63,Cheap,Three Outside Up formed on 01-Nov-2017<br />Bullish Engulfing Formation formed on 31-Oct-2017<br />Three Inside Up formed on 24-Oct-2017<br />Bullish Harami Formation formed on 23-Oct-2017<br />Bullish Engulfing Formation formed on 26-Sep-2017,Weekly Three Outside Down formed on 17-Nov-2017<br />Monthly Bearish Harami Formation formed on 17-Nov-2017<br />Three Outside Down formed on 14-Nov-2017<br />Monthly Bearish Harami Formation formed on 10-Nov-2017<br />Weekly Bearish Engulfing Formation formed on 09-Nov-2017,1337.6954,71.25,0.0196,68.83,62.73206,0.0238,67.93,53.16,0.0222,MACD Above Zero Line seen on 21-Nov-2017<br />Weekly CMF-Bullish Trend Change seen on 21-Nov-2017<br />ADX +DI Cross Above - DI seen on 20-Nov-2017<br />CMF-Bullish Trend Change seen on 13-Nov-2017,MACD Below Zero Line seen on 20-Nov-2017<br />Monthly MACD Below Zero Line seen on 20-Nov-2017<br />Weekly MACD Below Zero Line seen on 20-Nov-2017<br />PSAR Bearish Reversal on Weekly Chart seen on 17-Nov-2017<br />PSAR Bearish Reversal on Monthly Chart seen on 17-Nov-2017
INE739E01017,532443,3.15,15.34,30.19,86.91,27.68,54.84,48.35,46.38,46.38,8.52,34.28 (5-Y),0.16,20.69,3.44,0.33,18.43,25.86,3.96,46.98,2.11,19.71,83.73,Somewhat costly but justifies,Weekly Three Outside Up formed on 10-Nov-2017<br />Monthly Bullish Engulfing Formation formed on 09-Nov-2017<br />Three Outside Up formed on 07-Nov-2017<br />Bullish Engulfing Formation formed on 06-Nov-2017<br />Weekly Bullish Engulfing Formation formed on 03-Nov-2017,Weekly Spinning Top formed on 15-Nov-2017<br />Bearish Engulfing Formation formed on 08-Nov-2017<br />Bearish Engulfing Formation formed on 03-Nov-2017<br />Monthly Spinning Top formed on 31-Oct-2017<br />Three Outside Down formed on 23-Oct-2017,3028,22.85,0.0421,55.61,-0.457196,0.035,64.1,55.22,0.0364,Stock Broke Weekly Resistance seen on 21-Nov-2017<br />PSAR Bullish Reversal on Monthly Chart seen on 20-Nov-2017<br />PSAR Bullish Reversal on Weekly Chart seen on 20-Nov-2017,-
INE345B01019,532413,0.95,-0.47,-3.75,144.8,64.84,12.4,2.32,178.49,103.655,2.5,90.78 (5-Y),0.02,7.52,1,0,5.87,135.22,4.23,-1549.66,-11.88,-0.99,3.31,Very Cheap,Monthly Three Inside Up formed on 17-Nov-2017<br />Weekly Bullish Harami Formation formed on 16-Nov-2017<br />Monthly Three Inside Up formed on 08-Nov-2017<br />Inverted Hammer Formation formed on 08-Nov-2017<br />Three Outside Up formed on 06-Nov-2017,Spinning Top formed on 17-Nov-2017<br />Weekly Spinning Top formed on 02-Nov-2017<br />Weekly Three Dark Crows formed on 26-Oct-2017<br />Bearish Engulfing Formation formed on 13-Oct-2017<br />Monthly Three Dark Crows formed on 29-Sep-2017,45.616936,-1.999998,0.0346,44.31,-0.757353,0.0648,60.97,28.23,0.0676,MACD Above Zero Line seen on 21-Nov-2017,Monthly MACD Below Signal Line seen on 13-Nov-2017<br />MACD Below Signal Line seen on 13-Nov-2017<br />Weekly MACD Below Signal Line seen on 13-Nov-2017
INE396F01013,512341,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Not cheap but still Good,-,-,-,-,-,-,-,-,-,-,-,-,-
INE486A01013,500084,1.72,0.4,10.66,79.76,14.45,29.88,6.24,15.45,15.67,0.99,10.67 (5-Y),1.48,7.21,6.04,0.97,25.65,13.21,1.84,5.17,1.9,-480.52,15631.8,Not cheap but still Good,Weekly Three Outside Up formed on 14-Nov-2017<br />Weekly Bullish Engulfing Formation formed on 09-Nov-2017<br />Weekly Bullish Harami Formation formed on 02-Nov-2017<br />Monthly Inverted Hammer Formation formed on 27-Oct-2017<br />Monthly Bullish Harami Formation formed on 27-Oct-2017,Monthly Dark Cloud cover Formation formed on 17-Nov-2017<br />Three Outside Down formed on 16-Nov-2017<br />Weekly Dark Cloud cover Formation formed on 16-Nov-2017<br />Spinning Top formed on 10-Nov-2017<br />Monthly Dark Cloud cover Formation formed on 08-Nov-2017,1050.1405,-13.7,0.0324,9.58,-10.786177,0.0255,14.05,38.73,0.0218,PSAR Bullish Reversal on Monthly Chart seen on 21-Nov-2017<br />ADX +DI Cross Above - DI Weekly ADX seen on 21-Nov-2017<br />PSAR Bullish Reversal on Weekly Chart seen on 21-Nov-2017<br />ADX +DI Cross Above - DI Monthly ADX seen on 21-Nov-2017<br />ADX +DI Cross Above - DI seen on 14-Nov-2017,ADX -DI Cross Above + DI Weekly ADX seen on 21-Nov-2017<br />ADX -DI Cross Above + DI Monthly ADX seen on 21-Nov-2017<br />Weekly MACD Below Signal Line seen on 20-Nov-2017<br />MACD Below Signal Line seen on 20-Nov-2017<br />ADX -DI Cross Above + DI seen on 16-Nov-2017
INE717D01023,511710,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Very Poor,-,-,-,-,-,-,-,-,-,-,-,-,-
INE067A01029,500093,7.78,5.53,8.67,19.14,-24,-5,-9.28,-,24.636,1.58,49.97 (5-Y),0.48,-11.25,3.58,0,-0.81,13,0.91,-9.97,-,-947.88,1977,Very Costly,Three Inside Up formed on 17-Nov-2017<br />Bullish Harami Formation formed on 16-Nov-2017<br />Monthly Inverted Hammer Formation formed on 10-Nov-2017<br />Bullish Engulfing Formation formed on 06-Nov-2017<br />Three Outside Up formed on 31-Oct-2017,Weekly Three Inside Down formed on 17-Nov-2017<br />Monthly Dark Cloud cover Formation formed on 16-Nov-2017<br />Weekly Bearish Harami Formation formed on 10-Nov-2017<br />Bearish Harami Formation formed on 27-Oct-2017<br />Monthly Spinning Top formed on 10-Oct-2017,77.46024,4.999998,0.036,95.02,1.450735,0.035,97.34,43.75,0.0323,Weekly CMF-Bullish Trend Change seen on 21-Nov-2017<br />Monthly CMF-Bullish Trend Change seen on 21-Nov-2017<br />Crossed Above Weekly Central Line seen on 21-Nov-2017<br />ADX +DI Cross Above - DI Monthly ADX seen on 21-Nov-2017<br />ADX +DI Cross Above - DI Weekly ADX seen on 21-Nov-2017,MACD Below Signal Line seen on 21-Nov-2017<br />ADX -DI Cross Above + DI Monthly ADX seen on 21-Nov-2017<br />Monthly MACD Below Signal Line seen on 21-Nov-2017<br />Weekly MACD Below Signal Line seen on 21-Nov-2017<br />ADX -DI Cross Above + DI Weekly ADX seen on 21-Nov-2017
INE084D01010,531489,3.65,-10,-4.76,2.86,17.69,27.67,16.94,29.09,39.325,1.5,19.52 (5-Y),0,4.67,10.65,1.85,4.75,6.46,1.11,8.74,1.46,1.17,0.02,Somewhat costly but justifies,-,-,31.546127,1.05,0.0588,15.54,-0.651765,0.0413,22.56,51.07,0.0595,-,-
INE049R01013,539600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
INE419D01026,530307,4.33,4.95,18.8,78.71,99.49,79.17,36.95,13.58,24.98,3.19,4.15 (5-Y),0.3,30.19,12.45,0.38,13.62,7.72,0.91,-32.08,0.42,-16.71,43.51,Somewhat costly but justifies,-,-,118.42,7.8,0.0383,56.15,14.677794,0.0615,26.73,49.25,0.0534,-,-
INE417N01011,512301,3.93,-43.47,-35.34,-55,-8.18,-19.48,-,842.48,842.48,0.29,388.67 (5-Y),0,0.1,0.3,0,-,332.62,54.35,0.82,-15.4,4.22,-,Not Assessed,-,-,-,-,-,-,-,-,-,-,-,-,-
